full_name,admission_number,user__username,user__email
Brian Mwangi,10001,brian10001,brian10001@gmail.com
Kevin Otieno,10002,kevin10002,kevin10002@gmail.com
James Kiptoo,10003,james10003,james10003@gmail.com
Peter Kamau,10004,peter10004,peter10004@gmail.com
Daniel Ochieng,10005,daniel10005,daniel10005@gmail.com
Samuel Kiprotich,10006,samuel10006,samuel10006@gmail.com
John Kariuki,10007,john10007,john10007@gmail.com
David Mutua,10008,david10008,david10008@gmail.com
Michael Wanjala,10009,michael10009,michael10009@gmail.com
Joseph Njoroge,10010,joseph10010,joseph10010@gmail.com
George Onyango,10011,george10011,george10011@gmail.com
Anthony Cheruiyot,10012,anthony10012,anthony10012@gmail.com
Mark Kiplangat,10013,mark10013,mark10013@gmail.com
Paul Mwenda,10014,paul10014,paul10014@gmail.com
Chris Musyoka,10015,chris10015,chris10015@gmail.com
Andrew Maina,10016,andrew10016,andrew10016@gmail.com
Dennis Kibet,10017,dennis10017,dennis10017@gmail.com
Victor Odhiambo,10018,victor10018,victor10018@gmail.com
Eric Muriuki,10019,eric10019,eric10019@gmail.com
Brian Kipchoge,10020,brian10020,brian10020@gmail.com
Collins Barasa,10021,collins10021,collins10021@gmail.com
Felix Mwiti,10022,felix10022,felix10022@gmail.com
Ian Kiplagat,10023,ian10023,ian10023@gmail.com
Steve Nyaga,10024,steve10024,steve10024@gmail.com
Allan Wekesa,10025,allan10025,allan10025@gmail.com
Clifford Kipkemoi,10026,clifford10026,clifford10026@gmail.com
Martin Mutiso,10027,martin10027,martin10027@gmail.com
Kenedy Waweru,10028,kenedy10028,kenedy10028@gmail.com
Oscar Makori,10029,oscar10029,oscar10029@gmail.com
Patrick Ouma,10030,patrick10030,patrick10030@gmail.com
Vincent Karanja,10031,vincent10031,vincent10031@gmail.com
Benard Too,10032,benard10032,benard10032@gmail.com
Edwin Kiprono,10033,edwin10033,edwin10033@gmail.com
Fredrick Mwangi,10034,fredrick10034,fredrick10034@gmail.com
Geoffrey Mutinda,10035,geoffrey10035,geoffrey10035@gmail.com
Hillary Kiptoo,10036,hillary10036,hillary10036@gmail.com
Isaac Mworia,10037,isaac10037,isaac10037@gmail.com
Jared Ochieng,10038,jared10038,jared10038@gmail.com
Kelvin Rotich,10039,kelvin10039,kelvin10039@gmail.com
Leonard Muthoni,10040,leonard10040,leonard10040@gmail.com
Moses Kipkemei,10041,moses10041,moses10041@gmail.com
Nicholas Kariuki,10042,nicholas10042,nicholas10042@gmail.com
Oliver Kiptoo,10043,oliver10043,oliver10043@gmail.com
Philip Mwenda,10044,philip10044,philip10044@gmail.com
Quincy Wanjohi,10045,quincy10045,quincy10045@gmail.com
Ronald Mutua,10046,ronald10046,ronald10046@gmail.com
Stephen Kipchumba,10047,stephen10047,stephen10047@gmail.com
Timothy Ndegwa,10048,timothy10048,timothy10048@gmail.com
Victor Maina,10049,victor10049,victor10049@gmail.com
Wilson Otieno,10050,wilson10050,wilson10050@gmail.com
